name	smarts	keep_atoms	add_atoms	protected_smiles	cleaved_smiles	decoys	policy	decoy_scope
carboxyl_trioxabicyclooctane	[C;D4;y3;r6;+0:1]12-;@[O;D2;+0][C;D2;y1;z1;+0][C;D4;y0;z1;+0]([C;D1;+0])([C;D2;y1;z1;+0][O;D2;+0]1)[C;D2;y1;z1;+0][O;D2;+0]2	[1]	"[[1,""O"",2],[1,""O"",1]]"	CC(C)C12OCC(C)(CO1)CO2	CC(C)C(O)=O	"[""CC(C)C12OCC(CC)(CO1)CO2"",""CC(C)C12OC(C)C(C)(CO1)CO2""]"	conservative	per_rule
amine_methylcarbamate	[N;D2,D3;+0:1]-;!@[C;z2;y3;+0](=[O;+0])[O;D2;y0;+0][C;D1;+0]	[1]	[]	c1ccccc1NC(=O)OC	c1ccccc1N	"[""c1ccccc1NC(=O)OCC""]"	conservative	per_rule
amine_ethylcarbamate	[N;D2,D3;+0:1]-;!@[C;z2;y3;+0](=[O;+0])[O;D2;y0;+0][C;D2;y1;z1;+0][C;D1;+0]	[1]	[]	c1ccccc1NC(=O)OCC	c1ccccc1N	[]	conservative	per_rule
amine_alloc	[N;D2,D3;+0:1]-;!@[C;z2;y3;+0](=[O;+0])[O;D2;y0;+0]-[C;D2;z1;y1;+0][C;D2;y0;z2;+0]=[C;D1;+0]	[1]	[]	c1ccccc1NC(=O)OCC=C	c1ccccc1N	"[""c1ccccc1NC(=O)OCC=CC""]"	conservative	per_rule
amine_teoc	[N;D2,D3;+0:1]-;!@[C;z2;y3;+0](=[O;+0])[O;D2;y0;+0]-[C;D2;z1;y1;+0][C;D2;y1;z1;+0][Si;D4;z1;y0;+0]([C;D1;+0])([C;D1;+0])[C;D1;+0]	[1]	[]	c1ccccc1NC(=O)OCC[Si](C)(C)C	c1ccccc1N	[]	conservative	per_rule
amine_sem	[N;D2,D3;+0:1]-;!@[C;D2;y2;z1;+0][O;D2;y0;+0]-[C;D2;z1;y1;+0][C;D2;y1;z1;+0][Si;D4;z1;y0;+0]([C;D1;+0])([C;D1;+0])[C;D1;+0]	[1]	[]	CN(C)COCC[Si](C)(C)C	CNC	[]	conservative	per_rule
amine_troc	[N;D2,D3;+0:1]-;!@[C;z2;y3;+0](=[O;+0])[O;D2;y0;+0]-[C;D2;+0][C;D4;y3;+0]([Cl;D1;+0])([Cl;D1;+0])[Cl;D1;+0]	[1]	[]	c1ccccc1NC(=O)OCC(Cl)(Cl)Cl	c1ccccc1N	"[""c1ccccc1NC(=O)OC(C)C(Cl)(Cl)Cl""]"	conservative	per_rule
amine_cbz	[N;D2,D3;+0:1]-;!@[C;z2;y3;+0](=[O;+0])-[O;D2;y0;+0][C;D2;y1;z1;+0][C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1	[1]	[]	c1ccccc1NC(=O)OCc2ccccc2	c1ccccc1N	"[""c1ccccc1NC(=O)OC(C)c2ccccc2""]"	conservative	per_rule
amine_chloro_cbz	[N;D2,D3;+0:1]-;!@[C;z2;y3;+0](=[O;+0])-[O;D2;y0;+0][C;D2;y1;z1;+0][C;a;r6;+0]:1:[C;D3;y1;+0]([Cl;D1;+0]):[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1	[1]	[]	Clc1ccccc1COC(=O)Nc1ccccc1	c1ccccc1N	"[""c1ccccc1NC(=O)OC(C)c2ccccc2""]"	conservative	per_rule
amine_phenylsulfonyl	[N;D2,D3;+0:1]-;!@[S;D4;y3;+0](=[O;+0])(=[O;+0])-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1	[1]	[]	c1ccccc1S(=O)(=O)Nc1ccccc1	c1ccccc1N	[]	conservative	per_rule
